,0
0,3.0026027630098637
1,3.0058818224468173
2,2.993864447031921
3,3.0084356407427575
4,2.9981901967323914
5,2.9976350365190587
6,2.9870291882242106
7,2.9969562473165734
8,3.002191066980451
9,2.9840167768662296
10,3.004085122321143
11,2.9849968176604413
12,2.9992743121289562
13,3.005127188781035
14,2.995542058889582
15,3.001174637068938
16,2.991346027782087
17,3.0051795262179706
18,2.9973394809662026
19,2.994184861725249
20,2.9901750282190593
21,2.991448584965771
22,2.988831499276725
23,2.998452305152536
24,3.0039915090461835
25,2.991159519760519
26,3.0024863758652005
27,2.986800976162331
28,2.989807694414098
29,2.9878449919892227
30,2.9952527097206594
31,2.9923997092978754
32,2.9820066242655763
33,2.9951737365689666
34,2.9795931461117555
35,2.984646071000247
36,3.0074974153432055
37,3.001024608191154
38,2.9910650068782916
39,2.987723881255976
40,3.0095802319551863
41,3.0114808283296703
42,2.993959827903768
43,2.9896518871139937
44,3.001471338301763
45,3.014948949389493
46,2.9836388740386806
47,2.9972784114603592
48,2.9916095307508095
49,2.996366644828383
50,2.9972390779135796
51,3.0058313754756565
52,2.9981362485818606
53,3.0019143992510475
54,2.9997293278701775
55,2.9848098245344015
56,2.9895627866206307
57,2.9857003696332
58,2.996072640522328
59,2.9873487560806713
60,2.989398552192111
61,3.0036581552901884
62,2.9820950504857286
63,2.9916554716270616
64,2.992060631109209
65,2.9858885704776745
66,2.994313026621964
67,2.9944084139605986
68,3.0001448151792736
69,2.989466618419947
70,2.993425606987264
71,2.9934125281603436
72,2.9936540316647284
73,2.988999043334679
74,2.984404811636541
75,3.015007503537922
76,3.007189877979177
77,3.00301676801077
78,2.994990235675761
79,2.9914492021165726
80,2.994192549836832
81,2.991288993325722
82,2.9958443446152256
83,3.001945044184201
84,2.9788590029308146
85,3.0112084522917684
86,3.012392187099912
87,3.008630055370352
88,2.9870568511987723
89,3.0147308834879705
90,3.01096413732158
91,2.9832976334676835
92,2.9969423053613156
93,2.982172595905742
94,2.9989719659307754
95,2.9946566335292473
96,3.000183968519488
97,3.006067232609959
98,3.0019086178739434
99,3.0035194694350524
100,2.9956880652768723
101,2.9874081293248835
102,3.004555235271425
103,3.003682601935826
104,2.9887633665068423
105,3.0053715816649564
106,3.001625416837187
107,2.995015384084104
108,2.9959051959538985
109,2.990545506954338
110,2.997505667662998
111,3.000020923006909
112,2.988916940369883
113,2.9879413948746123
114,2.998598242274026
115,3.0058958716666067
116,2.9985018951979976
117,2.999361893524193
118,3.001623001706346
119,2.9997893704617784
120,2.99857536034849
121,2.997965980762226
122,2.995183090056062
123,2.9939311471099352
124,2.9917354651660713
125,2.9880792138220515
126,2.992914067716864
127,2.9942970830097813
128,3.000676543770024
129,3.0010606653945913
130,2.996735688657905
131,2.9930989049585177
132,2.992648418410364
133,2.990141659681838
134,2.997577315101255
135,2.9872318573153764
136,3.002582452378623
137,2.9851311797933633
138,3.005736734718218
139,3.00321382615465
140,2.9965441399650863
141,2.983790516499887
142,2.994666036537271
143,2.985042948168268
144,3.0076972079984374
145,2.9885053109790007
146,2.99474991256005
147,2.996152924900988
148,2.9924180906701277
149,2.9928187133642754
150,3.0110807329708464
151,2.9916258082816594
152,2.9968861282313055
153,3.0041658404134566
